t,Pcharge,Pdischarge
5149,22.20300116904465,5.878456695663817e-7
5150,25.327501169044623,5.878456595917252e-7
5151,25.29800116904463,5.87845659221294e-7
5152,19.341001169044674,5.878456753507653e-7
5153,9.702501169044734,5.878456995094454e-7
5154,5.878458956362983e-7,1.553810246056867
5155,5.878456981930046e-7,10.005022907333098
5156,5.878456893017585e-7,13.390928745844628
5157,5.878456965194459e-7,11.250518386006673
5158,5.878457047719486e-7,9.201654308674257
5159,5.878457129429109e-7,7.701313073325719
5160,5.878457211855754e-7,6.579992717985907
5161,5.87845726198786e-7,6.032973997871813
5162,5.87845728020805e-7,5.848229908245517
5163,5.878457284000054e-7,5.802065509804567
5164,5.878457281018783e-7,5.816699070962177
5165,5.87845725183093e-7,6.079536552864757
5166,5.878457213649534e-7,6.458060066158217
5167,5.878457097761086e-7,7.982058236279911
5168,5.878457017239493e-7,9.353212072214264
5169,5.878457129787972e-7,7.189242130230307
5170,5.878459496123736e-7,1.257560458544337
5171,9.050501169044738,5.878457023045979e-7
5172,16.88450116904468,5.878456805685555e-7
5173,22.20300116904465,5.878456695862985e-7
5174,25.327501169044623,5.87845659609791e-7
5175,25.29800116904463,5.878456592363094e-7
5176,19.341001169044674,5.878456753618103e-7
5177,9.702501169044734,5.878456995167988e-7
5178,5.878458956409339e-7,1.553815964095413
5179,5.878456981989523e-7,10.004973279625082
5180,5.878456893104603e-7,13.390596026194505
5181,5.878456965307438e-7,11.250222959370648
5182,5.878457047851433e-7,9.201436413034807
5183,5.878457129574637e-7,7.701160928157391
5184,5.878457212011006e-7,6.579892459682914
5185,5.878457262150226e-7,6.032903804629272
5186,5.878457280375866e-7,5.848181915060952
5187,5.878457284172001e-7,5.802041690916108
5188,5.878457281193701e-7,5.8167047488289185
5189,5.878457252007591e-7,6.079581949391877
5190,5.878457213826696e-7,6.4581641832860175
5191,5.878457097937078e-7,7.982304293485817
5192,5.878457017411908e-7,9.35368134485847
5193,5.878457129954353e-7,7.189635390691128
5194,5.878459496277168e-7,1.2575809586459787
5195,9.050501169044738,5.878457023248309e-7
5196,16.88450116904468,5.878456805890917e-7
5197,22.20300116904465,5.87845669606218e-7
5198,25.327501169044623,5.878456596278609e-7
5199,25.29800116904463,5.87845659251329e-7
5200,19.341001169044674,5.878456753728595e-7
5201,9.702501169044734,5.878456995241562e-7
5202,5.87845895645571e-7,1.5538216987633198
5203,5.878456982048993e-7,10.004924114511137
5204,5.878456893191605e-7,13.39026342214429
5205,5.878456965420425e-7,11.249927345668821
5206,5.878457047983397e-7,9.201218465986667
5207,5.878457129720167e-7,7.701009201504664
5208,5.878457212166265e-7,6.579792127574237
5209,5.878457262312586e-7,6.032833950819093
5210,5.878457280543693e-7,5.8481340833094535
5211,5.878457284344005e-7,5.802017849088923
5212,5.878457281368621e-7,5.81671065200662
5213,5.878457252184288e-7,6.079627359861715
5214,5.878457214003906e-7,6.4582679022234
5215,5.878457098113098e-7,7.9825496548542585
5216,5.878457017584404e-7,9.354149703271627
5217,5.878457130120737e-7,7.190028379628138
5218,5.878459496430596e-7,1.257601459206037
5219,9.050501169044738,5.878457023450634e-7
5220,16.88450116904468,5.878456806096276e-7
5221,22.20300116904465,5.878456696261414e-7
5222,25.327501169044623,5.878456596459348e-7
5223,25.29800116904463,5.878456592663499e-7
5224,19.341001169044674,5.878456753839081e-7
5225,9.702501169044734,5.878456995315157e-7
5226,5.878458956502103e-7,1.5538274226642261
5227,5.878456982108522e-7,10.004874691624833
5228,5.878456893278666e-7,13.389931591328395
5229,5.878456965533442e-7,11.249632027581228
5230,5.878457048115393e-7,9.201000399059124
5231,5.878457129865762e-7,7.700857087914659
5232,5.878457212321575e-7,6.579691680396505
5233,5.878457262475003e-7,6.032763656809553
5234,5.878457280711546e-7,5.848086260513806
5235,5.878457284516013e-7,5.801993976750843
5236,5.87845728154357e-7,5.816716396853472
5237,5.87845725236097e-7,6.079672670786916
5238,5.878457214181136e-7,6.458371542434801
5239,5.878457098289111e-7,7.982795576170984
5240,5.87845701775685e-7,9.354618536489067
5241,5.878457130287152e-7,7.190421696709247
5242,5.878459496584007e-7,1.2576219708857843
5243,9.050501169044738,5.878457023653008e-7
5244,16.88450116904468,5.878456806301702e-7
5245,22.20300116904465,5.878456696460647e-7
5246,25.327501169044623,5.878456596640099e-7
5247,25.29800116904463,5.878456592813746e-7
5248,19.341001169044674,5.878456753949621e-7
5249,9.702501169044734,5.878456995388776e-7
