P2,P1,E,Pch,Pdis,Demand,S_max,SolarGen,Pdumped
0.0,12.78,81.72,0.0,4.77,17.55,245.28,0.0,100000.0
0.0,15.03,76.11,0.0,5.57,20.6,498.77,0.0,100000.0
0.0,15.16,69.56,0.0,6.29,22.89,851.5,1.44,100000.0
0.0,8.85,62.15,0.0,5.32,26.24,699.98,12.06,100000.0
0.0,1.26,55.89,0.0,1.19,27.47,0.0,25.02,100000.0
0.0,0.0,54.49,9.05,0.0,27.85,851.52,36.9,100000.0
0.0,0.0,61.73,16.88,0.0,29.38,162.48,46.26,100000.0
0.0,0.0,75.24,22.2,0.0,29.76,162.46,51.96,100000.0
0.0,0.0,93.0,25.33,0.0,28.61,225.46,53.94,100000.0
0.0,0.0,113.26,25.3,0.0,25.94,0.0,51.24,100000.0
0.0,0.0,133.5,19.34,0.0,25.18,225.38,44.52,100000.0
0.0,0.0,148.98,9.7,0.0,24.8,870.82,34.5,100000.0
0.0,1.59,156.74,0.0,1.45,25.18,498.66,22.14,100000.0
0.0,15.0,155.03,0.0,6.86,31.28,0.0,9.42,100000.0
0.0,29.14,146.95,0.0,8.65,38.15,699.74,0.36,100000.0
0.0,29.48,136.77,0.0,7.52,37.01,324.24,0.0,100000.0
0.0,26.43,127.93,0.0,6.38,32.81,193.11,0.0,100000.0
0.0,22.32,120.42,0.0,5.53,27.85,0.0,0.0,100000.0
0.0,18.0,113.92,0.0,4.89,22.89,699.86,0.0,100000.0
0.0,15.66,108.17,0.0,4.56,20.22,851.52,0.0,100000.0
0.0,14.64,102.81,0.0,4.44,19.08,0.0,0.0,100000.0
0.0,13.91,97.58,0.0,4.4,18.31,0.0,0.0,100000.0
0.0,13.14,92.4,0.0,4.41,17.55,2.52,0.0,100000.0
0.0,12.99,87.21,0.0,4.56,17.55,699.68,0.0,100000.0
0.0,12.77,81.85,0.0,4.78,17.55,498.88,0.0,100000.0
0.0,15.02,76.23,0.0,5.58,20.6,162.49,0.0,100000.0
0.0,15.15,69.67,0.0,6.3,22.89,1.58,1.44,100000.0
0.0,8.85,62.26,0.0,5.33,26.24,871.5,12.06,100000.0
0.0,1.26,56.0,0.0,1.19,27.47,0.0,25.02,100000.0
0.0,0.0,54.6,9.05,0.0,27.85,498.75,36.9,100000.0
0.0,0.0,61.84,16.88,0.0,29.38,871.52,46.26,100000.0
0.0,0.0,75.35,22.2,0.0,29.76,163.04,51.96,100000.0
0.0,0.0,93.11,25.33,0.0,28.61,225.49,53.94,100000.0
0.0,0.0,113.37,25.3,0.0,25.94,0.0,51.24,100000.0
0.0,0.0,133.61,19.34,0.0,25.18,851.51,44.52,100000.0
0.0,0.0,149.08,9.7,0.0,24.8,0.0,34.5,100000.0
0.0,1.59,156.84,0.0,1.45,25.18,1.59,22.14,100000.0
0.0,15.0,155.13,0.0,6.86,31.28,225.3,9.42,100000.0
0.0,29.14,147.06,0.0,8.65,38.15,224.38,0.36,100000.0
0.0,29.49,136.89,0.0,7.52,37.01,850.7,0.0,100000.0
0.0,26.43,128.04,0.0,6.38,32.81,851.46,0.0,100000.0
0.0,22.32,120.54,0.0,5.53,27.85,0.0,0.0,100000.0
0.0,18.0,114.03,0.0,4.89,22.89,0.0,0.0,100000.0
0.0,15.66,108.28,0.0,4.56,20.22,871.28,0.0,100000.0
0.0,14.63,102.92,0.0,4.44,19.08,227.99,0.0,100000.0
0.0,13.91,97.7,0.0,4.41,18.31,871.35,0.0,100000.0
0.0,13.14,92.51,0.0,4.41,17.55,193.12,0.0,100000.0
0.0,12.99,87.32,0.0,4.56,17.55,0.0,0.0,100000.0
0.0,12.77,81.96,0.0,4.78,17.55,172.23,0.0,100000.0
0.0,15.02,76.34,0.0,5.58,20.6,0.0,0.0,100000.0
0.0,15.15,69.77,0.0,6.3,22.89,0.0,1.44,100000.0
0.0,8.84,62.36,0.0,5.33,26.24,0.0,12.06,100000.0
0.0,1.26,56.08,0.0,1.19,27.47,168.24,25.02,100000.0
0.0,0.0,54.69,9.05,0.0,27.85,0.0,36.9,100000.0
0.0,0.0,61.93,16.88,0.0,29.38,0.0,46.26,100000.0
0.0,0.0,75.44,22.2,0.0,29.76,851.47,51.96,100000.0
0.0,0.0,93.2,25.33,0.0,28.61,0.0,53.94,100000.0
0.0,0.0,113.46,25.3,0.0,25.94,0.0,51.24,100000.0
0.0,0.0,133.7,19.34,0.0,25.18,227.97,44.52,100000.0
0.0,0.0,149.17,9.7,0.0,24.8,870.1,34.5,100000.0
0.0,1.59,156.93,0.0,1.45,25.18,869.65,22.14,100000.0
0.0,15.0,155.22,0.0,6.86,31.28,850.38,9.42,100000.0
0.0,29.14,147.15,0.0,8.65,38.15,498.81,0.36,100000.0
0.0,29.49,136.98,0.0,7.52,37.01,700.02,0.0,100000.0
0.0,26.43,128.14,0.0,6.38,32.81,168.22,0.0,100000.0
0.0,22.32,120.64,0.0,5.53,27.85,871.43,0.0,100000.0
0.0,18.0,114.13,0.0,4.89,22.89,700.0,0.0,100000.0
0.0,15.66,108.38,0.0,4.56,20.22,77.57,0.0,100000.0
0.0,14.63,103.02,0.0,4.44,19.08,193.12,0.0,100000.0
0.0,13.91,97.79,0.0,4.41,18.31,0.0,0.0,100000.0
0.0,13.14,92.61,0.0,4.41,17.55,0.0,0.0,100000.0
0.0,12.99,87.42,0.0,4.56,17.55,0.0,0.0,100000.0
0.0,12.77,82.05,0.0,4.78,17.55,77.57,0.0,100000.0
0.0,15.02,76.42,0.0,5.58,20.6,230.5,0.0,100000.0
0.0,15.14,69.86,0.0,6.31,22.89,214.08,1.44,100000.0
0.0,8.84,62.44,0.0,5.33,26.24,0.0,12.06,100000.0
0.0,1.26,56.16,0.0,1.19,27.47,699.06,25.02,100000.0
0.0,0.0,54.76,9.05,0.0,27.85,227.84,36.9,100000.0
0.0,0.0,62.0,16.88,0.0,29.38,224.42,46.26,100000.0
0.0,0.0,75.51,22.2,0.0,29.76,77.75,51.96,100000.0
0.0,0.0,93.27,25.33,0.0,28.61,224.47,53.94,100000.0
0.0,0.0,113.54,25.3,0.0,25.94,1.58,51.24,100000.0
0.0,0.0,133.77,19.34,0.0,25.18,227.76,44.52,100000.0
0.0,0.0,149.25,9.7,0.0,24.8,77.59,34.5,100000.0
0.0,1.59,157.01,0.0,1.45,25.18,168.23,22.14,100000.0
0.0,15.0,155.3,0.0,6.86,31.28,0.0,9.42,100000.0
0.0,29.15,147.23,0.0,8.64,38.15,225.34,0.36,100000.0
0.0,29.49,137.06,0.0,7.52,37.01,871.42,0.0,100000.0
0.0,26.43,128.22,0.0,6.37,32.81,871.48,0.0,100000.0
0.0,22.32,120.72,0.0,5.53,27.85,2.51,0.0,100000.0
0.0,18.0,114.22,0.0,4.89,22.89,172.24,0.0,100000.0
0.0,15.66,108.47,0.0,4.56,20.22,77.55,0.0,100000.0
0.0,14.63,103.1,0.0,4.44,19.08,851.44,0.0,100000.0
0.0,13.9,97.87,0.0,4.41,18.31,77.59,0.0,100000.0
0.0,13.14,92.69,0.0,4.41,17.55,324.24,0.0,100000.0
0.0,12.99,87.49,0.0,4.56,17.55,77.78,0.0,100000.0
0.0,12.77,82.13,0.0,4.78,17.55,225.22,0.0,100000.0
0.0,15.01,76.5,0.0,5.59,20.6,214.09,0.0,100000.0
0.0,15.14,69.93,0.0,6.31,22.89,2.51,1.44,100000.0
0.0,8.84,62.5,0.0,5.34,26.24,81.93,12.06,100000.0
0.0,1.26,56.23,0.0,1.19,27.47,172.25,25.02,100000.0
0.0,0.0,54.83,9.05,0.0,27.85,0.0,36.9,100000.0
0.0,0.0,62.07,16.88,0.0,29.38,228.86,46.26,100000.0
0.0,0.0,75.58,22.2,0.0,29.76,1.59,51.96,100000.0
0.0,0.0,93.34,25.33,0.0,28.61,0.0,53.94,100000.0
0.0,0.0,113.6,25.3,0.0,25.94,699.88,51.24,100000.0
